genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[0, 1]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
"[1, 0]",-1,1.633,0.0165,0.0279,0.014,0.0139,0.0275,0.0
