genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
"[1, 0]",-1,0.0004,0.0003,0.0072,0.0202,0.0202,0.0072,0.0098
