Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score
Adult Income,race,NA,NA,LogisticRegression,0.8046139367199057,1.03550379,0.00426888
Adult Income,sex,NA,NA,LogisticRegression,0.8026640342150309,1.00701519,0.00084436
Adult Income,race,race,Massaging,LogisticRegression,0.7686745275697511,0.99164962,-0.00063448
Adult Income,sex,race,Massaging,LogisticRegression,0.7716146325897026,0.99756679,-0.00018476
Adult Income,race,sex,Massaging,LogisticRegression,0.7601548275421512,1.06975507,0.00061057
Adult Income,sex,sex,Massaging,LogisticRegression,0.757964865033076,0.91862211,-0.00067779
Adult Income,race,race,Reweighing,LogisticRegression,0.8044038662153301,1.01198595,0.00140707
Adult Income,sex,race,Reweighing,LogisticRegression,0.805393938223881,1.01680581,0.00200857
Adult Income,race,sex,Reweighing,LogisticRegression,0.8049437717133046,1.04466377,0.00532316
Adult Income,sex,sex,Reweighing,LogisticRegression,0.8043138752153303,0.99236046,-0.0009164
Adult Income,race,race,DisparateImpactRemover,LogisticRegression,0.8045536787067038,1.03238805,0.00386011
Adult Income,sex,race,DisparateImpactRemover,LogisticRegression,0.8044337477095542,0.98003588,-0.00238854
Adult Income,race,sex,DisparateImpactRemover,LogisticRegression,0.805153837717655,1.02691822,0.00326363
Adult Income,sex,sex,DisparateImpactRemover,LogisticRegression,0.8027238287050544,1.0224174,0.00267293
Adult Income,race,race,LearningFairRepresentations,LogisticRegression,0.9990400119957998,1.18128521,0.00305357
Adult Income,sex,race,LearningFairRepresentations,LogisticRegression,0.99913001199625,1.08797579,0.00152609
Adult Income,race,sex,LearningFairRepresentations,LogisticRegression,0.9996400089986499,1.00487615,5.751e-05
Adult Income,sex,sex,LearningFairRepresentations,LogisticRegression,0.9993700224979751,0.95293845,-0.00059827
