Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score
Adult Income,race,NA,NA,LogisticRegression,0.8031738287073045,0.60099115,-0.1025746
Adult Income,sex,NA,NA,LogisticRegression,0.8056938557212554,0.36052834,-0.19632463
Adult Income,race,race,Massaging,LogisticRegression,0.7680445320668261,0.99966907,-8.021e-05
Adult Income,sex,race,Massaging,LogisticRegression,0.7700547015853528,0.47985547,-0.15211666
Adult Income,race,sex,Massaging,LogisticRegression,0.7564948935271509,1.03651221,0.00880264
Adult Income,sex,sex,Massaging,LogisticRegression,0.7580547885297004,0.99998663,-3.24e-06
Adult Income,race,race,Reweighing,LogisticRegression,0.8034439547149554,0.60099115,-0.1025746
Adult Income,sex,race,Reweighing,LogisticRegression,0.8016143297245579,0.36052834,-0.19632463
Adult Income,race,sex,Reweighing,LogisticRegression,0.804763843716005,0.60099115,-0.1025746
Adult Income,sex,sex,Reweighing,LogisticRegression,0.8050339337218558,0.36052834,-0.19632463
Adult Income,race,race,DisparateImpactRemover,LogisticRegression,0.8055439082231308,0.60099115,-0.1025746
Adult Income,sex,race,DisparateImpactRemover,LogisticRegression,0.8050639187212557,0.36052834,-0.19632463
Adult Income,race,sex,DisparateImpactRemover,LogisticRegression,0.8038341512267321,0.60099115,-0.1025746
Adult Income,sex,sex,DisparateImpactRemover,LogisticRegression,0.8050637567131546,0.36052834,-0.19632463
Adult Income,race,race,LearningFairRepresentations,LogisticRegression,0.999730013499325,2.02278898,0.01775449
Adult Income,sex,race,LearningFairRepresentations,LogisticRegression,0.9997000104990249,0.0,-0.02968344
Adult Income,race,sex,LearningFairRepresentations,LogisticRegression,0.9990400209962498,0.01464949,-0.02952234
Adult Income,sex,sex,LearningFairRepresentations,LogisticRegression,0.999250028497675,0.72305925,-0.00783901
